奶	53153
奸	531112
她	531525
好	531521
如	531251
妃	531515
妄	415531
妆	412531
妇	531511
妈	531551
妊	5313121
妍	5311132
妒	5314513
妓	5311254
妖	5313134
妘	5311154
妙	5312343
妝	5213531
妞	5315211
妣	5311535
妤	5315452
妥	3443531
妨	5314153
妩	5311135
妪	5311345
妮	53151335
妲	53125111
妳	53135234
妹	53111234
妻	15112531
妾	41431531
姆	53155414
姉	5311252
姊	5313523
始	53154251
姍	53125221
姐	53125111
姑	53112251
姒	5315434
姓	53131121
委	31234531
姗	53135351
姚	531341534
姜	431121531
姝	531311234
姣	531413434
姥	531121335
姦	531531531
姨	531151534
姪	531154121
姫	531125125
姬	5311225125
姹	531445315
姻	531251341
姿	413534531
威	131531534
娃	531121121
娄	431234531
娅	531122431
娆	531153135
娇	531313432
娉	5312512115
娑	4412343531
娓	5315133115
娘	5314511534
娛	5312515134
娜	531511352
娟	5312512511
娠	5311311534
娣	5314351523
娥	5313121534
娩	5313525135
娱	5312511134
娲	5312512534
娴	5314251234
娶	12211154531
娼	53125112511
婀	5315212512
婁	25112512531
婆	44153254531
婉	53144535455
婊	53111213534
婕	53115112134
婚	53135152511
婢	53132511312
婦	53151145252
婧	53111212511
婪	12341234531
婭	53112155121
婴	25342534531
婵	53143251112
婶	53144525112
婷	531412514512
婺	545233134531
婿	531521342511
媒	531122111234
媚	531521325111
媛	531344311354
媞	531251112134
媧	53125525251
媲	5313253411535
媳	5313251114544
媽	5311211254444
媾	5311122125211
嫁	5314451353334
嫂	531321511254
嫉	5314134131134
嫌	5314315112234
嫑	1324125221531
嫔	5314453212134
嫖	53112522111234
嫘	53125121554234
嫚	53125112522154
嫡	53141432512251
嫣	53112121154444
嫦	53124345251252
嫩	53112512343134
嫲	53141312341234
嫵	531311222214444
嫻	531251125111234
嬅	5311221122112
嬉	531121251431251
嬌	531313425125251
嬗	5314125251125111
嬛	5312522112513534
嬢	5314134112213534
嬤	53141312341234554
嬪	53144512332511134
嬰	25111342511134531
嬴	4152513511531354
嬷	53141312341234354
嬸	531445343123425121
嬿	5311221251211354444
孀	53114524444123425111
孃	53141251251112213534
子	521
孑	521
孔	5215
孕	53521
孖	521521
字	425521
存	132521
孙	521234
孚	3443521
孛	1245521
孜	5213134
孝	1213521
孟	52125221
孢	52135515
季	31234521
孤	52133544
学	44345521
孩	521415334
孪	412234521
孫	5213554234
孬	1324531521
孰	41251521354
孱	513521521521
孳	431554554521
孵	35435243443521
學	3211343451145521
孺	52114524444132522
孽	1223251514143112521
孿	4111251554444554444521
宁	44512
它	44535
宅	445315
宇	445112
守	445124
安	445531
宋	4451234
完	4451135
宏	4451354
宓	44545434
宕	44513251
宗	44511234
官	44525151
宙	44525121
定	44512134
宛	44535455
宜	44525111
宝	44511214
实	44544134
実	44511134
宠	44513534
审	44525112
客	445354251
宣	445125111
室	445154121
宥	445132511
宦	445125125
宪	445312135
宫	445251251
宮	4452513251
宰	4454143112
害	4451112251
宴	4452511531
宵	4452432511
家	4451353334
宸	4451311534
容	4453434251
宽	4451222535
宾	4453212134
宿	44532132511
寂	44521123454
寄	44513412512
寅	44512512134
密	44545434252
寇	44511352154
富	445125125121
寐	445521311234
寒	445112213444
寓	445251125214
寛	4451222511135
寝	4454125114554
寞	4451222511134
察	44535445411234
寡	44513251113453
寢	44552135114554
寥	44554154134333
實	44555212511134
寧	44545442522112
寨	44511221341234
審	445343123425121
寫	445321511354444
寬	44512225111354
寮	445134432511234
寰	4452522112513534
寵	44541431251121515111
寶	44511213112522511134
寸	124
对	54124
寺	121124
寻	511124
导	515124
対	4134124
寿	1113124
封	121121124
専	125112124
射	3251113124
将	412354124
將	52133544124
專	12511214124
尉	51311234124
尊	431253511124
尋	511121251124
對	22431431121124
導	431325111454124
小	234
少	2343
尔	35234
尕	53234
尖	234134
尘	234121
尚	24325251
尝	243451154
尤	1354
尧	153135
尬	1353432
就	412512341354
尴	1352231425221
尷	13512512531425221
尸	513
尹	5113
尺	5134
尻	51335
尼	51335
尽	513444
尾	5133115
尿	5132534
局	5135251
屁	5131535
层	5131154
屄	51344534
居	51312251
屆	51312152
屈	51352252
屉	51312215
届	51325121
屋	513154121
屌	513251252
屍	513135435
屎	513431234
屏	513431132
屐	5133321254
屑	5132432511
展	5131221534
屜	51333212215
属	513325125214
屠	51312132511
屡	513431234531
屢	51325112512531
層	513432524312511
履	513332312511354
屬	513241342522135251214
屯	1525
山	252
屹	252315
屿	252151
岀	252252
岁	252354
岂	252515
岌	252354
岐	2521254
岑	2523445
岔	3453252
岖	2521345
岗	2522534
岘	2522535
岙	3134252
岚	2523534
岛	3545252
岡	25431252
岩	25213251
岫	25225121
岬	25225112
岭	25234454
岱	32154252
岳	32121252
岷	25251515
岸	25213112
峇	252341251
峋	252352511
峒	252251251
峙	252121124
峡	252143134
峤	252313432
峥	252355112
峦	412234252
峨	2523121534
峪	2523434251
峭	2522432511
峯	2523541112
峰	2523541112
峴	2522511135
島	3251115252
峻	2525434354
峽	2521343434
崁	2521213534
崂	2521224553
崆	25244534121
崇	25244511234
崎	25213412512
崑	25225111535
崔	25232411121
崖	25213121121
崗	25225431252
崙	25234125122
崛	25251352252
崧	25212343454
崩	25235113511
崭	25215213312
崴	252131531534
崽	252251214544
嵇	312341354252
嵊	2523122113534
嵋	252521325111
嵌	252122113534
嵐	252353251214
嵘	252122451234
嵩	2524125125251
嵬	252325113554
嵯	252431113121
嶂	25241431251112
嶄	25212511123312
嶇	25212512512515
嶋	25232511154444
嶙	252431234354152
嶺	25234454132511134
嶼	2523211152511134
嶽	25235341112511344
巅	2521225111134132534
巍	25231234531325113554
巒	4111251554444554444252
巔	25212251111341325111134
巖	2522512511351221113134
川	322
州	434242
巡	555454
巢	55525111234
工	121
左	13121
巧	12115
巨	1515
巩	121354
巫	1234341
差	431113121
己	515
已	515
巳	515
巴	5215
巷	122134515
巻	431134515
巽	515515122134
巾	252
巿	1252
币	3252
市	41252
布	13252
帅	23252
帆	252354
师	231252
希	3413252
帐	2523154
帑	53154252
帕	25232511
帖	25221251
帘	44534252
帚	51145252
帛	32511252
帜	25225134
帝	414345252
帥	325151252
带	122245252
帧	252212534
師	3251511252
席	4131221252
帮	111352252
帯	1222145252
帰	4351145252
帳	25212111534
帶	13221545252
帷	25232411121
常	24345251252
帼	25225112141
帽	252251125111
幀	252212511134
幂	452511134252
幄	252513154121
幅	252125125121
幌	2522511243135
幔	25225112522154
幕	1222511134252
幟	252414312511534
幡	252343123425121
幢	252414312511211
幣	43252343134252
幫	12112112432511252
干	112
平	14312
年	311212
并	431132
幸	12143112
幹	1225111234112
幺	554
幻	5545
幼	55453
幽	255455452
幾	554554134534
广	413
庁	41312
広	41354
庄	413121
庆	413134
庇	4131535
床	4131234
序	4135452
庐	4134513
库	4131512
应	4134431
底	41335154
庖	41335515
店	41321251
庙	41325121
庚	41351134
府	41332124
庞	41313534
废	41353544
庠	413431112
度	413122154
座	4133434121
庫	4131251112
庭	413312154
庵	41313425115
庶	41312214444
康	41351124134
庸	41351125112
庹	41312215134
庾	41332151134
廁	413251113422
廂	413123425111
廃	413543341135
廈	4131325111354
廉	4134315112234
廊	41345115452
廓	4134125152152
廖	41354154134333
廚	413121251431124
廝	413122111343312
廟	413122511123511
廠	413243252513134
廢	413543345153554
廣	41312212512134
廬	4132153152512125221
廳	4131221111121122522114544
延	321554
廷	312154
建	51111254
廿	1221
开	1132
弁	54132
异	515132
弃	4154132
弄	1121132
弈	413234132
弊	43252343134132
弋	154
式	112154
弑	341234112154
弒	3412344112154
弓	515
弔	5152
引	5152
弗	51532
弘	51554
弛	515525
弟	4351523
张	5153154
弥	51535234
弦	51541554
弧	51533544
弩	53154515
弭	515122111
弯	412234515
弱	5154151541
張	51512111534
強	51554251214
弹	51543251112
强	515251251214
弼	515132511515
弾	515443251112
彅	51543125112253
彆	43252343134515
彈	515251251251112
彌	51513425234343434
彎	4111251554444554444515
归	23511
当	243511
录	51124134
彗	11121112511
彙	5514525111234
彝	551431234554234132
形	1132333
彤	3541333
彥	413413333
彦	414313333
彧	1251153334
彩	34431234333
彪	21531535333
彫	35121251333
彬	12341234333
彭	121251431333
彰	41431251112333
影	251141251234333
彷	3324153
役	3323554
彻	3321553
彼	33253254
彿	33251532
往	33241121
征	33212121
径	33254121
待	332121124
徇	332352511
很	332511534
徉	332431112
徊	332252511
律	332511112
後	332554354
徐	3323411234
徑	3321555121
徒	3321212134
従	3324312134
徕	3321431234
